report_id,vehicle_type,vehicle_movement,plate_state,created_at_local,created_at_epoch,address,latitude,longitude
21658,Private,standing,PA,2019-10-16T12:52:19,1571244739000,"270 3rd Ave, Pittsburgh, PA 15222",40.43895847222222,-80.00195219444444
21659,Ridehail,Loading,PA,2019-10-16T12:53:37,1571244817000,"101 S Commons, Pittsburgh, PA 15212",40.45041497222223,-80.004598
21661,Private,Loading,OH,2019-10-16T12:54:48,1571244888000,"4 Allegheny Ctr, Pittsburgh, PA 15212",40.45280080555556,-80.00366133333333
21663,Private,parked,PA,2019-10-16T12:58:18,1571245098000,"425 S Craig St, Pittsburgh, PA 15213",40.4445544,-79.9486346
21664,Other,Loading,PA,2019-10-16T12:59:15,1571245155000,"15 Montgomery Pl, Pittsburgh, PA 15212",40.4540491,-80.0060349
21665,Private,standing,OH,2019-10-16T12:53:06,1571244786000,"101 S Commons, Pittsburgh, PA 15212",40.45041497222223,-80.004598
21666,Private,Loading,PA,2019-10-16T13:00:09,1571245209000,"200 Smithfield St, Pittsburgh, PA 15222",40.437883944444444,-79.99973997222223
21667,Other,standing,PA,2019-10-16T13:02:04,1571245324000,"101 S Commons, Pittsburgh, PA 15212",40.450364,-80.00511
21668,Private,standing,PA,2019-10-16T13:00:47,1571245247000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.4444232,-79.9458255
21669,Private,parked,CA,2019-10-16T13:05:49,1571245549000,"1 PPG Pl, Pittsburgh, PA 15222",40.43984,-80.00364675
21670,Other,standing,PA,2019-10-16T13:07:16,1571245636219,"101 S Commons, Pittsburgh, PA 15212",40.45034327548039,-80.00508639968932
21671,Private,standing,PA,2019-10-16T13:04:15,1571245455000,"6 PPG Pl, Pittsburgh, PA 15222",40.43953847222222,-80.00357052777778
21672,Ridehail,Loading,PA,2019-10-16T12:34:01,1571243641000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.4444589,-79.9457584
21673,Private,standing,US,2019-10-16T13:04:22,1571245462000,"6 PPG Pl, Pittsburgh, PA 15222",40.439567999999994,-80.00359338888889
21674,Other,parked,PA,2019-10-16T13:04:59,1571245499000,"6 PPG Pl, Pittsburgh, PA 15222",40.43971497222222,-80.00388788888888
21675,Private,standing,FL,2019-10-16T13:10:25,1571245825000,"6 PPG Pl, Pittsburgh, PA 15222",40.43961058333333,-80.00345619444444
21676,Private,Loading,PA,2019-10-16T12:20:06,1571242806000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.4444701,-79.9457302
21677,Private,Loading,PA,2019-10-16T13:17:20,1571246240000,"6 PPG Pl, Pittsburgh, PA 15222",40.43972469444444,-80.0038045
21679,Other,parked,PA,2019-10-16T13:17:24,1571246244000,"814 Penn Ave, Pittsburgh, PA 15222",40.44359397222222,-79.998433
21680,Ridehail,Loading,PA,2019-10-16T12:19:33,1571242773000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.4445014,-79.9457515
21681,Private,parked,IN,2019-10-16T13:19:24,1571246364000,"6 PPG Pl, Pittsburgh, PA 15222",40.4396536,-80.0034863
21683,Private,Loading,PA,2019-10-16T12:10:38,1571242238000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.4444389,-79.9457903
21684,Private,Loading,PA,2019-10-16T12:10:16,1571242216000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.4444954,-79.9457104
21685,Private,Loading,PA,2019-10-16T12:08:55,1571242135000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.4444927,-79.9457296
21686,Other,parked,OH,2019-10-16T13:27:39,1571246859000,"164 8th St, Pittsburgh, PA 15222",40.443856999999994,-79.999673
21687,Private,parked,PA,2019-10-16T13:29:02,1571246942000,"808 Penn Ave, Pittsburgh, PA 15222",40.44359897222222,-79.99875297222222
21690,Private,standing,PA,2019-10-16T13:38:23,1571247503000,"947 Penn Ave, Pittsburgh, PA 15222",40.44433097222222,-79.996447
21702,Ridehail,Loading,PA,2019-10-16T16:26:25,1571257585000,"709 Penn Ave, Pittsburgh, PA 15222",40.4433097,-79.9998197
21703,Private,parked,PA,2019-10-16T16:27:01,1571257621000,"4910 Forbes Ave, Pittsburgh, PA 15213",40.44463347222222,-79.94394683333334
21704,Other,parked,PA,2019-10-16T16:20:40,1571257240000,"6 PPG Pl, Pittsburgh, PA 15222",40.43954097222222,-80.003539
21705,Private,parked,PA,2019-10-16T16:29:30,1571257770000,"4910 Forbes Ave, Pittsburgh, PA 15213",40.444553361111105,-79.94463347222222
21706,Private,parked,PA,2019-10-16T16:29:28,1571257768000,"4910 Forbes Ave, Pittsburgh, PA 15213",40.444423666666665,-79.94434355555556
21707,Ridehail,standing,MN,2019-10-16T16:30:17,1571257817000,"4615 Forbes Ave, Pittsburgh, PA 15213",40.4445397,-79.9478387
21708,Private,standing,PA,2019-10-16T16:32:21,1571257941000,"4765 Forbes Ave, Pittsburgh, PA 15213",40.44470594444444,-79.94534300000001
21709,Private,Loading,PA,2019-10-16T16:32:54,1571257974000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.44440458333333,-79.94576261111112
21710,Taxi,standing,PA,2019-10-16T16:38:04,1571258284000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.44420241666666,-79.94562530555557
21711,Private,parked,PA,2019-10-16T16:38:01,1571258281000,"4765 Forbes Ave, Pittsburgh, PA 15213",40.44473263888889,-79.94551847222223
21713,Ridehail,standing,PA,2019-10-16T16:38:36,1571258316000,"5 PPG Pl, Pittsburgh, PA 15222",40.439448999999996,-80.00341097222223
21714,Private,parked,PA,2019-10-16T16:40:21,1571258421000,"667 Penn Ave, Pittsburgh, PA 15222",40.44307927777778,-80.00066208333334
21715,Private,standing,US,2019-10-16T16:37:46,1571258266000,"6 PPG Pl, Pittsburgh, PA 15222",40.43958097222222,-80.00355197222223
21716,Private,standing,PA,2019-10-16T16:41:35,1571258495000,"627 Penn Ave, Pittsburgh, PA 15222",40.44294908333333,-80.00148577777777
21717,Private,Loading,PA,2019-10-16T16:42:47,1571258567000,"625 Liberty Ave, Pittsburgh, PA 15222",40.44279144444444,-80.00116791666666
21718,Private,standing,PA,2019-10-16T16:54:43,1571259283000,"6 PPG Pl, Pittsburgh, PA 15222",40.43963097222222,-80.003594
21721,Other,standing,PA,2019-10-16T16:57:05,1571259425000,"6 PPG Pl, Pittsburgh, PA 15222",40.43952397222222,-80.003533
21723,Private,Loading,PA,2019-10-16T16:58:31,1571259511000,"649 Penn Ave, Pittsburgh, PA 15222",40.44294549999999,-80.00104205555556
21724,Private,standing,PA,2019-10-16T16:59:11,1571259551000,"600 Penn Ave, Pittsburgh, PA 15222",40.44278269444444,-80.00184088888889
21732,Private,Loading,PA,2019-10-16T13:09:11,1571245751000,"4910 Forbes Ave, Pittsburgh, PA 15213",40.444511111111105,-79.94444166666668
21731,Other,Loading,PA,2019-10-16T12:47:46,1571244466000,"4612 Forbes Ave, Pittsburgh, PA 15213",40.444505199999995,-79.94791469972223
21737,Ridehail,Loading,PA,2019-10-16T17:22:53,1571260973214,"1 PPG Pl, Pittsburgh, PA 15222",40.43999530843015,-80.00368368643527
21739,Other,Loading,PA,2019-10-16T17:24:01,1571261041935,"1 PPG Pl, Pittsburgh, PA 15222",40.44005451835419,-80.00365620500568
21740,Private,parked,PA,2019-10-16T17:24:22,1571261062251,"US 22, Pittsburgh, PA 15219",40.43528461520962,-79.9983723365937
21741,Private,parked,PA,2019-10-16T17:26:48,1571261208116,"301 3rd Ave, Pittsburgh, PA 15222",40.43886577521726,-80.00117817781275
21743,Private,parked,PA,2019-10-16T16:57:15,1571259435000,"425 S Craig St, Pittsburgh, PA 15213",40.44449994444444,-79.94860075
21744,Private,parked,PA,2019-10-16T17:08:30,1571260110000,"4765 Forbes Ave, Pittsburgh, PA 15213",40.44456480555555,-79.94609830555557
21745,Private,parked,PA,2019-10-16T17:28:58,1571261338000,"4765 Forbes Ave, Pittsburgh, PA 15213",40.44477080555555,-79.94541930555556
21748,Other,parked,PA,2019-10-16T17:31:22,1571261482410,"305 Wood St, Pittsburgh, PA 15222",40.43886443463402,-80.00175183960314
21751,Ridehail,Loading,PA,2019-10-16T17:32:14,1571261534404,"1 PPG Pl, Pittsburgh, PA 15222",40.440124505327404,-80.00362084752337
21752,Private,parked,PA,2019-10-16T17:33:01,1571261581000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.44445036111111,-79.94555663888889
21755,Private,parked,ID,2019-10-16T17:33:31,1571261611000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.44438933333333,-79.94522855555556
21760,Private,standing,PA,2019-10-16T17:37:31,1571261851141,"960 Penn Ave, Pittsburgh, PA 15222",40.444340589890004,-79.99569775844255
21761,Private,standing,PA,2019-10-16T17:38:49,1571261929735,"960 Penn Ave, Pittsburgh, PA 15222",40.444275318337176,-79.99541278831609
21762,Other,parked,PA,2019-10-16T17:42:35,1571262155061,"305 Wood St, Pittsburgh, PA 15222",40.4391072504599,-80.00185593038798
21780,Private,standing,PA,2019-10-16T17:54:14,1571262854595,"960 Penn Ave, Pittsburgh, PA 15222",40.44424691861416,-79.99564571750393
21763,Private,standing,PA,2019-10-16T17:40:38,1571262038000,"101 S Commons, Pittsburgh, PA 15212",40.450499972222225,-80.004366
21766,Ridehail,parked,FL,2019-10-16T17:47:12,1571262432000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.4444381,-79.9456029
21769,Private,Loading,PA,2019-10-16T17:46:40,1571262400000,"116 Allegheny Center Mall, Pittsburgh, PA 15212",40.450377,-80.006899
21771,Private,standing,PA,2019-10-16T17:50:28,1571262628887,"960 Penn Ave, Pittsburgh, PA 15222",40.44429748227324,-79.9955275042555
21773,Private,standing,PA,2019-10-16T17:51:21,1571262681479,"4910 Forbes Ave, Pittsburgh, PA 15213",40.44462435156118,-79.94418373589127
21774,Other,Loading,PA,2019-10-16T16:35:17,1571258117000,"4765 Forbes Ave, Pittsburgh, PA 15213",40.44464897222222,-79.94563397222223
21779,Ridehail,standing,PA,2019-10-16T16:37:29,1571258249000,"4765 Forbes Ave, Pittsburgh, PA 15213",40.444644999999994,-79.945464
21781,Private,standing,OH,2019-10-16T17:55:10,1571262910803,"960 Penn Ave, Pittsburgh, PA 15222",40.44431610013243,-79.99557671191226
21782,Ridehail,standing,TX,2019-10-16T16:38:08,1571258288000,"4765 Forbes Ave, Pittsburgh, PA 15213",40.44462897222222,-79.945294
21783,Private,parked,PA,2019-10-16T17:56:21,1571262981000,"4800 Forbes Ave, Pittsburgh, PA 15213",40.44437025,-79.94526672222223
21785,Private,standing,PA,2019-10-16T16:54:12,1571259252000,"4765 Forbes Ave, Pittsburgh, PA 15213",40.44474697222222,-79.945569
21787,Other,Loading,PA,2019-10-16T17:58:37,1571263117415,"4910 Forbes Ave, Pittsburgh, PA 15213",40.444551651293914,-79.94403238647172
21788,Other,standing,PA,2019-10-16T16:54:41,1571259281000,"4765 Forbes Ave, Pittsburgh, PA 15213",40.444675999999994,-79.94554997222222
21789,Private,standing,PA,2019-10-16T17:58:52,1571263132671,"960 Penn Ave, Pittsburgh, PA 15222",40.44431610013243,-79.99557671191226
21792,Other,standing,PA,2019-10-16T16:59:39,1571259579000,"4765 Forbes Ave, Pittsburgh, PA 15213",40.44473897222222,-79.94553297222222
21633,Private,Loading,PA,2019-10-16T08:57:59,1571230679000,"4765 Forbes Ave, 15213",40.444783,-79.945653
